Time,Battery_Power_kW,SOC,Electricity_Price,PV_Power_kW,Wind_Power_kW,Load_kW,grid_purchase_cost,grid_sales_revenue,battery_loss_cost,battery_aging_cost,network_loss_cost,total_revenue,Battery_Remaining_Capacity_Percent,Battery_Cycles,Battery_Avg_DoD_Percent,Line_Losses_kW,Grid_Power_kW,Voltage_Bus_0_pu,Voltage_Bus_1_pu,Voltage_Bus_2_pu,Voltage_Bus_3_pu,Line_0_Loading_Percent,Line_1_Loading_Percent,Line_2_Loading_Percent,Line_3_Loading_Percent
2025-02-10,-116450032.11777358,0.0,0.21,66.535266491301,32.41165023035658,131.56403908295684,24454513.594328146,0.0,3027405761195.3438,0.0,0.0,-1513727335111.266,100.0,0.0,50.0,2329003.273636253,116450064.73489591,1.0,1.0,1.0,1.0,0,0,0,0
2025-02-11,-118101724.07947297,0.0,0.2,77.24740960648457,61.33589356805945,126.15461927946087,23620342.330157816,0.0,3113894423914.768,0.0,0.0,-1556970832299.714,100.0,0.0,50.0,2362037.004681845,118101711.65078908,1.0,1.0,1.0,1.0,0,0,0,0
2025-02-12,-119792858.52194473,0.0,0.19,37.10926731979573,19.985742080046194,148.83291999673534,22760660.549372513,0.0,3203710509867.264,0.0,0.0,-1601878015594.1814,100.0,0.0,50.0,2395860.1470972947,119792950.25985532,1.0,1.0,1.0,1.0,0,0,0,0
2025-02-13,-121116942.77552247,0.0,0.18,28.846379922604672,39.640388945955216,145.7920056277333,21801063.61453666,0.0,3274923878343.6553,0.0,0.0,-1637483740235.4421,100.0,0.0,50.0,2422341.771350562,121117020.08075921,1.0,1.0,1.0,1.0,0,0,0,0
2025-02-14,-122791709.88611193,0.0,0.19,24.471580588851417,29.720099873152844,146.41220070514765,23330442.400260113,0.0,3366119307146.25,0.0,0.0,-1683082984015.5251,100.0,0.0,50.0,2455837.1259662528,122791802.10663216,1.0,1.0,1.0,1.0,0,0,0,0
2025-02-15,-124574088.69195281,0.0,0.2,46.60119842850331,45.932015241189866,147.59556970720647,24914828.750861768,0.0,3464550126793.1274,0.0,0.0,-1732299978225.3147,100.0,0.0,50.0,2491484.72575045,124574143.75430885,1.0,1.0,1.0,1.0,0,0,0,0
2025-02-16,-126191943.99964792,0.0,0.19,92.02828513224817,45.96253530878345,128.07325024855453,23976467.47559477,0.0,3555123350796.9346,0.0,0.0,-1777585651865.9429,100.0,0.0,50.0,2523841.4414579635,126191934.08207773,1.0,1.0,1.0,1.0,0,0,0,0
2025-02-17,-127808805.9255808,0.0,0.19,54.64826108343134,62.49338243148998,136.03704039923963,24283676.71598576,0.0,3646808579645.885,0.0,0.0,-1823428573499.6584,100.0,0.0,50.0,2556178.839252424,127808824.82097767,1.0,1.0,1.0,1.0,0,0,0,0
2025-02-18,-129417761.10334395,0.0,0.23,33.36113661949545,63.93031020163747,129.24433366670365,29766092.402933083,0.0,3739204162154.158,0.0,0.0,-1869631847169.482,100.0,0.0,50.0,2588357.8069535526,129417793.05623077,1.0,1.0,1.0,1.0,0,0,0,0
2025-02-19,-130836824.88378853,0.0,0.21,89.13717888995312,49.762780441160274,150.16689592451664,27475735.591652274,0.0,3821654368575.25,0.0,0.0,-1910854660023.2166,100.0,0.0,50.0,2616739.501013689,130836836.15072513,1.0,1.0,1.0,1.0,0,0,0,0
2025-02-20,-132086780.07585214,0.0,0.2,25.956135870546355,42.42475532216595,143.4523475511716,26417371.0294617,0.0,3895023852486.8853,0.0,0.0,-1947538343614.4722,100.0,0.0,50.0,2641738.470563994,132086855.14730847,1.0,1.0,1.0,1.0,0,0,0,0
2025-02-21,-134047453.57320975,0.0,0.19,42.190988719505825,57.79702648924975,135.2651446958742,25469022.881564453,0.0,4011516217572.4673,0.0,0.0,-2005783577809.1152,100.0,0.0,50.0,2680951.776767089,134047488.8503392,1.0,1.0,1.0,1.0,0,0,0,0
2025-02-22,-135405892.48898867,0.0,0.2,54.75378350968016,37.87325566499807,127.77963380800867,27081185.528316665,0.0,4093233729902.0117,0.0,0.0,-2046643946136.5342,100.0,0.0,50.0,2708120.4053724497,135405927.6415833,1.0,1.0,1.0,1.0,0,0,0,0
2025-02-23,-136724191.6423573,0.0,0.2,51.483207580509124,52.7466242645023,134.70750500803854,27344844.424006093,0.0,4173324408069.5557,0.0,0.0,-2086689548879.202,100.0,0.0,50.0,2734486.5269972463,136724222.12003043,1.0,1.0,1.0,1.0,0,0,0,0
2025-02-24,-139187268.99355707,0.0,0.21,25.805309806962203,0.3131388035278029,135.1051330167489,29229349.37585071,0.0,4325043150196.3613,0.0,0.0,-2162550804447.5564,100.0,0.0,50.0,2783748.081973802,139187377.9802415,1.0,1.0,1.0,1.0,0,0,0,0
2025-02-25,-140439559.77792174,0.0,0.18,92.56168190716517,46.7295635149365,146.4289729934658,25279122.044816874,0.0,4403219513701.499,0.0,0.0,-2201635035972.7944,100.0,0.0,50.0,2808794.1241378947,140439566.9156493,1.0,1.0,1.0,1.0,0,0,0,0
2025-02-26,-140968071.23191822,0.0,0.23,56.10488864483752,6.5919488629612815,143.85160919794598,32422675.04893868,0.0,4436422849437.935,0.0,0.0,-2218243847394.016,100.0,0.0,50.0,2819364.3016705485,140968152.38668987,1.0,1.0,1.0,1.0,0,0,0,0
2025-02-27,-143627110.2245986,0.0,0.18,40.506232694062874,0.0,150.84195679213715,25852899.70085808,0.0,4605367207010.397,0.0,0.0,-2302709456404.8994,100.0,0.0,50.0,2872545.221331108,143627220.56032267,1.0,1.0,1.0,1.0,0,0,0,0
